permno,date,ret,dlret,shrout,prc,vol,exchcd,ret_adj
90173,2014-02-28,0.012449,,7063.0,17.8501,5143.0,1,0.0124489999999999
78008,1993-04-30,-0.35316,,8157.0,21.75,33576.0,3,-0.3531599999999999
93363,2019-06-28,0.098112,,3800.0,83.62,2187.0,3,0.0981119999999999
34905,1970-11-30,0.0,,1786.0,3.0,324.0,2,0.0
18455,1985-04-30,0.0,,3717.0,-31.0,229.0,3,0.0
32409,1983-03-31,0.0,,3192.0,-1.6875,821.0,3,0.0
60046,1987-08-31,0.200687,,51539.0,43.625,72010.0,2,0.200687
25005,1989-06-30,-0.06391,,84606.0,31.125,73518.0,1,-0.06391
79279,1994-11-30,0.0,,374.0,-16.25,65.0,3,0.0
12087,1982-12-31,-0.1875,,3798.0,3.25,1373.0,1,-0.1875
34032,1989-05-31,0.086957,,137310.0,28.125,83573.0,1,0.0869569999999999
81128,2005-01-31,0.033018,,54069.0,49.12,86593.0,1,0.0330179999999999
20053,1991-04-30,0.024194,,33513.0,15.875,2404.0,1,0.024194
14189,1979-04-30,0.014151,,16183.0,26.875,3661.0,1,0.014151
82859,2018-09-28,0.025287,,52831.0,22.3,37337.0,1,0.025287
13216,1972-11-30,,,,,,1,0.0
11835,1993-05-28,0.123077,,7992.0,9.125,4935.0,3,0.1230770000000001
88742,2003-07-31,-0.004149,,3790.0,48.0,842.0,3,-0.0041489999999999
18421,2019-04-30,0.073021,,266174.0,38.5,446844.0,3,0.073021
31820,1976-09-30,0.115385,,1184.0,-1.8125,,3,0.115385
75222,1993-10-29,-0.025807,,40518.0,18.875,26590.0,1,-0.025807
82837,2002-02-28,-0.039754,,52052.0,31.16,85618.0,3,-0.0397539999999999
44223,1986-05-30,-0.037037,,4267.0,-3.25,419.0,3,-0.0370369999999999
43705,2001-10-31,-0.396552,,1226.0,-0.875,74.0,2,-0.396552
91483,2008-03-31,-0.006693,,2500.0,48.61,4832.0,3,-0.0066929999999999
10866,1980-06-30,0.048544,,7296.0,26.5,874.0,1,0.0485439999999999
79743,1995-11-30,0.0,,3545.0,2.125,1093.0,3,0.0
76428,1994-02-28,0.059426,,1786.0,64.625,299.0,3,0.0594259999999999
93013,2015-02-27,0.037601,,125819.0,126.66,307424.0,1,0.0376009999999999
15532,2016-08-31,0.095395,,100827.0,3.33,208957.0,3,0.0953949999999999
74740,1991-05-31,-0.032258,,2506.0,-0.9375,143.0,3,-0.032258
75091,1993-07-30,-0.085714,,3534.0,4.0,260.0,2,-0.0857139999999999
13830,2016-11-30,0.221349,,83251.0,23.86,49704.0,3,0.221349
